timesteps,lambda,eval_return,eval_cost
10000,0.017,2.8370835489451287,0.8
20000,0.024,5.429103157743464,0.8
30000,0.03,6.9516386687357485,0.7
40000,0.0375,2.3204115538346985,0.85
50000,0.0445,4.288295394117431,0.8
60000,0.0515,5.377348035926861,0.8
70000,0.058499999999999996,5.45541777625111,0.8
80000,0.0655,5.45541777625111,0.8
90000,0.07250000000000001,5.45541777625111,0.8
100000,0.07950000000000002,5.45541777625111,0.8
110000,0.08650000000000002,3.9330562405713323,0.8
120000,0.09350000000000003,4.725088765151218,0.8
130000,0.10050000000000003,2.8159201776859017,0.8
140000,0.10750000000000004,4.2065531766366835,0.8
150000,0.11450000000000005,5.4884164869898715,0.8
160000,0.12150000000000005,5.500229628701991,0.8
170000,0.12850000000000006,5.4454166907208545,0.8
180000,0.13550000000000006,5.602752092912774,0.8
190000,0.14250000000000007,5.412247249477531,0.8
200000,0.14950000000000008,5.557313952545412,0.8
210000,0.15650000000000008,6.481725068114715,0.8
220000,0.1635000000000001,7.805551738366413,0.8
230000,0.1705000000000001,7.4339270603809755,0.8
240000,0.1775000000000001,5.299967508546965,0.8
250000,0.1845000000000001,3.018751109584443,0.8
260000,0.19150000000000011,5.047264996140649,0.8
270000,0.19850000000000012,4.724181958395503,0.8
280000,0.20550000000000013,5.45541777625111,0.8
290000,0.21250000000000013,5.45541777625111,0.8
300000,0.21950000000000014,2.679862220695555,0.8
