update_idx,total_primitive_steps,batch_mean_return,batch_collision_rate,batch_mean_ep_len,num_episodes,lambda,policy_loss,reward_value_loss,cost_value_loss,entropy,eval_return,eval_collision_rate,eval_episode_cost,eval_episode_length
1,1024,2.98123677620298,0.0,40.0,25.0,0.1,0.39492514729499817,0.32763177156448364,0.0004885293892584741,2.8214714527130127,nan,nan,nan,nan
2,2048,3.934357597630447,0.0,40.0,25.0,0.1,-0.022328421473503113,2.209528923034668,0.00014476029900833964,2.831671714782715,nan,nan,nan,nan
3,3072,3.800692579193953,0.0,40.0,25.0,0.1,0.17024314403533936,1.641448974609375,4.2962197767337784e-05,2.836808204650879,nan,nan,nan,nan
4,4096,3.8710076194664054,0.0,40.0,25.0,0.1,-0.08276905119419098,1.259220004081726,9.275407137465663e-06,2.8790688514709473,nan,nan,nan,nan
