timesteps,lambda,eval_return,eval_cost
10000,0.0175,3.757674443299443,0.85
20000,0.025,3.757674443299443,0.85
30000,0.0325,3.757674443299443,0.85
40000,0.04,3.757674443299443,0.85
50000,0.0475,3.757674443299443,0.85
60000,0.055,3.757674443299443,0.85
70000,0.0625,3.757674443299443,0.85
80000,0.07,3.757674443299443,0.85
90000,0.07750000000000001,3.757674443299443,0.85
100000,0.08500000000000002,3.757674443299443,0.85
110000,0.09250000000000003,3.757674443299443,0.85
120000,0.10000000000000003,3.757674443299443,0.85
130000,0.10750000000000004,3.757674443299443,0.85
140000,0.11500000000000005,3.757674443299443,0.85
150000,0.12250000000000005,3.757674443299443,0.85
160000,0.13000000000000006,3.757674443299443,0.85
170000,0.13750000000000007,3.757674443299443,0.85
180000,0.14500000000000007,3.757674443299443,0.85
190000,0.15250000000000008,3.757674443299443,0.85
200000,0.1600000000000001,3.757674443299443,0.85
210000,0.1675000000000001,3.757674443299443,0.85
220000,0.1750000000000001,3.757674443299443,0.85
230000,0.1825000000000001,3.757674443299443,0.85
240000,0.1900000000000001,3.757674443299443,0.85
250000,0.19750000000000012,3.757674443299443,0.85
