timesteps,lambda,eval_return,eval_cost
10000,0.0165,5.158879404791691,0.75
20000,0.0245,1.2275033055581008,0.9
30000,0.032,2.952490054352875,0.85
40000,0.0395,3.7384726887692294,0.85
50000,0.047,3.734315955241537,0.85
