timesteps,lambda,eval_return,eval_cost
5000,0.019000000000000003,-5.0,1.0
10000,0.026000000000000002,2.6849224085050354,0.8
15000,0.033,2.4659082871295537,0.8
20000,0.04,2.6911323015547652,0.8
25000,0.047,5.8242646287856,0.8
30000,0.054,5.827143396543717,0.8
35000,0.061,5.9020844429177775,0.8
40000,0.068,5.9020844429177775,0.8
45000,0.07500000000000001,5.9020844429177775,0.8
50000,0.08200000000000002,5.9020844429177775,0.8
