epoch,train_loss,val_loss
1,1.0907745361328125,0.9818313717842102
2,1.0507383346557617,0.9808313846588135
3,1.0241628885269165,0.9874083399772644
4,1.0100458860397339,0.9965400695800781
5,1.003600001335144,1.004753589630127
6,1.000672459602356,1.0103334188461304
7,0.9941702485084534,1.013520359992981
8,0.9891841411590576,1.0151464939117432
9,0.980735182762146,1.015677571296692
10,0.9769362211227417,1.0152102708816528
11,0.9688149094581604,1.0140787363052368
12,0.9623949527740479,1.012574315071106
13,0.9544601440429688,1.0108022689819336
14,0.9454689621925354,1.0093544721603394
15,0.9398459792137146,1.0082663297653198
16,0.9267228841781616,1.0082815885543823
17,0.9157597422599792,1.0091304779052734
18,0.902741551399231,1.011068344116211
19,0.889320433139801,1.0135592222213745
20,0.8752663135528564,1.0162160396575928
21,0.8603009581565857,1.0184246301651
22,0.8434800505638123,1.0206758975982666
23,0.829616129398346,1.0231276750564575
24,0.8181740045547485,1.0263638496398926
25,0.8022691607475281,1.0309804677963257
26,0.7843694686889648,1.0371055603027344
27,0.77390456199646,1.0441335439682007
28,0.7608797550201416,1.0513664484024048
29,0.7522562146186829,1.0567258596420288
30,0.7343770265579224,1.0614335536956787
31,0.7208670377731323,1.064922571182251
32,0.7065785527229309,1.069343090057373
33,0.6935046911239624,1.0745197534561157
34,0.678780198097229,1.0810010433197021
35,0.6629337072372437,1.0888053178787231
36,0.6509174704551697,1.095424771308899
37,0.6415178179740906,1.101165771484375
38,0.6255378127098083,1.1065772771835327
39,0.6124964952468872,1.1142264604568481
40,0.6028535962104797,1.1229444742202759
41,0.5852036476135254,1.131661057472229
42,0.5746901631355286,1.1367363929748535
43,0.5623350739479065,1.1398491859436035
44,0.5532128214836121,1.1455694437026978
45,0.5379446744918823,1.1532416343688965
46,0.5279626250267029,1.1591771841049194
47,0.516078770160675,1.164501667022705
48,0.5079265236854553,1.1692490577697754
49,0.4937375783920288,1.1762417554855347
50,0.48054495453834534,1.1879174709320068
