timesteps,lambda,eval_return,eval_cost
10000,0.0175,1.9704884748490543,0.85
20000,0.024,4.9557359575486455,0.75
30000,0.031,4.1301226472053285,0.8
40000,0.038,5.383027326836117,0.8
50000,0.045,5.380547560411349,0.8
